article_num,issue-item__title,issue-item__title href,rlist--inline 2,Abstract,Author1,Author2,Author3,Author4,Author5,Author6
11,Too Unsafe to Monitor? How Board–CEO Cognitive Conflict and Chair Leadership Shape Outside Director Monitoring,https://journals.aom.org/doi/10.5465/amj.2017.1256,7 February 2020,"Research into boards of directors provides mixed support for the view that outside directors’ independence and/or leadership by an independent chair improves monitoring. In this study, we use a micro-level approach to provide a better understanding of why outside directors have difficulty in monitoring the CEO. We highlight that an important reason for this lies in the boardroom dynamics associated with (1) outside directors’ cognitive conflict with the CEO and (2) the chair’s leadership of the board. Our inductive analyses of video observations of board meetings in five Australian corporations revealed the importance of chair participative leadership during disagreement episodes in the boardroom. Follow-up in-depth interviews of board meeting participants highlighted the importance of psychological safety as a key mechanism explaining why participative board chairs appear so effective in dealing with board–CEO cognitive conflict. We corroborate these results with a second, large-scale survey study involving data on 310 outside directors from 64 Dutch boards. Whereas prior work mostly focuses on the chair’s relationship with the CEO, we instead highlight the importance of the chair’s role as the leader of the board and identify board psychological safety as an important element shaping director monitoring within the confines of the boardroom.",Dennis B. Veltrop,Pieter-Jan Bezemer,Gavin Nicholson,Amedeo Pugliese,,
12,"Distinguishing Voice and Silence at Work: Unique Relationships with Perceived Impact, Psychological Safety, and Burnout",https://journals.aom.org/doi/10.5465/amj.2018.1428,7 February 2020,"Scholars continue to debate whether voice and silence are opposites or distinct constructs. This ambiguity has prevented meaningful theoretical advancements about employees’ voice and silence at work. We draw on the behavioral activation and behavioral inhibition systems perspective to provide a conceptual framework for the independence of voice and silence and explicate how two key antecedents—perceived impact and psychological safety—more strongly relate to voice and silence, respectively. We further differentiate voice and silence by identifying their unique effects on employee burnout. In Study 1, a meta-analysis, we demonstrate that voice and silence are independent (Mρ = -.15) and that perceived impact (psychological safety) relates more strongly to voice (silence) than to silence (voice). We also find that silence has a significantly stronger association with burnout compared to voice. In Study 2, we constructively replicate these findings in an interval-contingent panel study across six months. Taken together, this article shifts the conversation of whether voice and silence are distinct constructs to how they differ and why such differences matter.",Elad N. Sherf,Michael R Parke,Sofya Isaakyan,,,
13,Do the Hustle! Empowerment from Side-hustles and Its Effects on Full-time Work Performance,https://journals.aom.org/doi/10.5465/amj.2018.0164,6 February 2020,"Side-hustles, income-generating work performed alongside full-time jobs, are increasingly common as the gig economy provides opportunities for employees to perform supplementary work. Although scholars suggest that side-hustles conflict with full-time work performance, we assert psychological empowerment from side-hustles enriches full-time work performance. We argue that side-hustle complexity—the motivating characteristics of side-hustles—positively relates to empowerment and that side-hustle motives moderate this relationship. A study of 337 employees supports these assertions. We then investigate spillover of side-hustle empowerment to full-time work performance in a 10-day experience-sampling method study of 80 employee-coworker dyads. We address an affective pathway in which daily side-hustle empowerment enriches full-time work performance through side-hustle engagement and positive affect at work. We also consider a cognitive pathway in which side-hustle empowerment distracts from full-time work performance through side-hustle engagement and attention residue—persistent cognitions about side-hustles during full-time work. Overall, performance enrichment from side-hustles was stronger than performance conflict. We also consider affective shift from full-time work to side-hustles, finding negative affect from full-time work strengthens the relationship between side-hustle empowerment and engagement. Combined, our two studies examine the source of side-hustle empowerment and how and why side-hustle empowerment influences affective and cognitive experiences during full-time work.",Hudson Sessions,Jennifer D Nahrgang,Manuel Vaulont,Raseana Williams,,
14,"Resource Dependence, Uncertainty, and the Allocation of Corporate Political Activity across Multiple Jurisdictions",https://journals.aom.org/doi/10.5465/amj.2017.1258,30 January 2020,"This paper contributes to the resource dependence theory literature and corporate political activity literature by distinguishing dependence from uncertainty and explaining how two different types of uncertainty have opposite effects on dependence management. We draw on Milliken’s (1987) uncertainty typology to explain how some environmental factors increase the state uncertainty associated with firms’ dependence on government jurisdictions, whereas other factors increase response uncertainty. We hypothesize that, due to the historical influence of the media and social movement organizations (SMOs) on politics, negative national media tenor and oppositional SMO resources increase state uncertainty (i.e., government’s likely behavior toward firms becomes less predictable), strengthening the relationship between firms’ dependence on jurisdictions and their use of political contributions in those jurisdictions. Further, we hypothesize that TMT turnover and politician turnover increase response uncertainty (i.e., the effectiveness of firms’ efforts to manage their dependence becomes less clear), weakening the relationship between dependence and political contributions. We find support for our theory in an examination of state-level political contributions of firms in environmentally intensive industries from 2009 to 2016. Interviews with senior executives, political consultants, and senior government employees directly involved in corporate political activity help illustrate the hypothesized relationships.",Trey Sutton,Richard A. Devine,Bruce T. Lamont,"R. Michael Holmes, Jr.",,
15,Unpacking Firm External Dependence: How Government Contract Dependence Affects Firm Investments and Market Performance,https://journals.aom.org/doi/10.5465/amj.2018.0067,30 January 2020,"We advance resource dependence theory (RDT) by answering calls for theorizing on both how being dependent on external entities for resources affect firms and the heterogeneous nature of such dependencies. Specifically, we develop theory about how internal firm dynamics and performance are affected by resource dependence by integrating resource orchestration (RO) theorizing into RDT. Building on RO, we argue as the degree to which a firm is dependent upon a single source of revenue increases (a core tenet of RDT), the firm adjusts internally by reducing investments and the market responds negatively as well. Further, we argue the heterogeneous nature of such dependence – namely, dependence scope (the spread of dependence throughout the entity with which the dependence relationship resides), dependence supplementation (the addition of new relationships within the prior dependence relationship), and dependence stability (the expected length of the dependence relationship) – moderates the relationship between level of dependence and these outcomes. We find broad support for our theorizing in a longitudinal sample of manufacturing firms’ dependence upon governmental contracts for revenue. Collectively, we advance understanding of RDT by adding nuance to both explanatory mechanisms underlying dependence and conceptualizations of a firm’ external dependence relationships, posing theoretical and practical implications. ",Mirzokhidjon Abdurakhmonov,Jason W. Ridge,Aaron D. Hill,,,
16,The Two Towers (or Somewhere in Between): The Behavioral Consequences of Positional Inconsistency across Status Hierarchies,https://journals.aom.org/doi/10.5465/amj.2018.1091,30 January 2020,"We examine how actors react to status inconsistencies across multiple status hierarchies. We argue that pluralistic value systems create multiple status conferral mechanisms, and that hierarchies’ prestige varies as a function of the values they represent. While status inconsistency, in general, increases the likelihood that actors will pursue opportunities that can boost their lagging status, their status hierarchies’ unequal prestige influences the magnitude and direction of actors’ responses to their status inconsistency. Further, their ability to do so is constrained by their relative standing in their primary status hierarchy and the extent to which they are embedded in particular professional networks. Using the artistic and commercial status of Hollywood performers, we found that status-inconsistent performers were more likely to appear in films that could boost their lagging status in the commercial hierarchy when they possessed relatively higher artistic than commercial status. Moreover, being high-status decreased the likelihood a performer would pursue opportunities that could improve their lagging status only when they were high status in the artistic status hierarchy, while embeddedness only decreased the likelihood when their primary status hierarchy was commercial.",Jung-Hoon Han,Tim Pollock,,,,
17,When Does Pay for Performance Motivate Employee Helping Behavior? The Contextual Influence of Performance Subjectivity,https://journals.aom.org/doi/10.5465/amj.2018.1408,28 January 2020,"An extensive body of literature demonstrates the incentive effect by which pay for performance (PFP) motivates employees’ in-role task performance. Nonetheless, scholars have also posited that PFP is likely to demotivate employees’ extra-role behaviors. Drawing upon expectancy theory (Vroom, 1964) and the heuristic processing literature (Kahneman, 2011), we examine the relationship between PFP and employee helping behavior. We perform this examination not only by considering the “pay” component (e.g., PFP intensity) but also by scrutinizing the “performance” component, namely, performance subjectivity, which refers to the extent to which the criteria or indicators used to measure employee performance in the performance appraisal system are subjective. Specifically, we propose that PFP has a conditional positive effect (i.e., in the context of high performance subjectivity) on employee helping behavior and further theorize and test the underlying psychological mechanism by which individual perceived helping-performance expectancy accounts for the interactive effects between PFP and performance subjectivity on employee helping behavior. The empirical results of three studies employing distinctive methodologies provide general support for our hypotheses. Taken together, our research challenges the conventional wisdom that PFP undermines employees’ extra-role behaviors by providing new insight into understanding when and why PFP motivates employee helping behavior.",Wei He,Shao-Long Li,Jie Feng,Guanglei Zhang,,
18,"Maintaining Strategic Ambiguity for Protection: Struggles over Opacity, Equivocality, and Absurdity around the Sicilian Mafia",https://journals.aom.org/doi/10.5465/amj.2017.1086,21 January 2020,"In spite of an increasing interest in ambiguity, our knowledge of how organizations maintain strategic ambiguity to protect themselves from public scrutiny is still in its infancy. Through an in-depth historical study of the Sicilian Mafia between 1963 and 2018, we develop a model of strategic ambiguity maintenance. We focus on three struggles between the Mafia and state representatives and show how they centered on different types of ambiguity: ambiguity as opacity, equivocality and absurdity. We elaborate on the strategies enacted by the Mafia and the responses by state representatives and their implications for ambiguity over time. The main contribution of our paper is that it advances understanding of the maintenance of strategic ambiguity by organizations that need to protect themselves from public scrutiny. More specifically, it enriches understanding of the key process dynamics, the type of struggles, and the discursive and non-discursive strategies employed in the process. Our analysis also extends research on clandestine organizations and illuminates the relationship between (strategic) ambiguity and secrecy.",Giulia Cappellaro,Amelia Compagni,Eero Vaara,,,
19,Gaining Legitimacy by Being Different: Optimal Distinctiveness in Crowdfunding Platforms,https://journals.aom.org/doi/10.5465/amj.2018.0620,21 January 2020,"How do new ventures gain legitimacy and attract critical resources? An increasing body of cultural entrepreneurship research highlights an “optimal distinctiveness” trade-off: new ventures need to be distinctive from their peers to stand out, yet distinctiveness counteracts the attainment of organizational legitimacy. In this paper, we challenge the underlying assumption that distinctiveness necessarily counteracts the attainment of legitimacy and propose that distinctiveness can become a source of legitimacy. This proposition matters because it fundamentally alters the relationship between distinctiveness and resource acquisition from certain audiences. We build on these theoretical arguments to examine new ventures’ resource acquisition from crowdfunders, one of the most important audiences for new ventures. Analysis of 28,425 crowdfunding campaigns across 39 market categories strongly supports our arguments, showing that higher levels of distinctiveness lead to superior crowdfunding performance. We further demonstrate that the legitimating effect of distinctiveness intensifies under the absence of alternative sources of legitimacy. Our study contributes by uncovering a new mechanism and three contingencies for the “optimal distinctiveness” trade-off.",Karl Taeuscher,Ricarda B. Bouncken,Robin Pesch,,,
20,Kin Ties and the Performance of New Firms: A Structural Approach,https://journals.aom.org/doi/10.5465/amj.2017.1218,16 January 2020,"Kin ties are all but ubiquitous in new firms. However, their effects on performance are not straightforward, because they may provide new firms with advantages (enhanced coordination and cooperation) as well as disadvantages (reduced diversity, nepotism concerns, and the possible spillover of personal conflict). As kin ties may have both positive and negative implications for performance, a contingency approach to the performance of new firms is valuable. We develop such an approach by relating different structural configurations of kin ties – whether they are between founders, between founders and employees, and between employees – to the performance of new firms. We test our predictions using data on 4,967 new firms founded in Stockholm between 1998 and 2003. Our theory deepens our understanding of why kin ties have heterogeneous effects on the performance of new firms.",Gokhan Ertug,Reddi Kotha,Peter Hedstrom,,,
21,"Authenticity at work: Its shapes, triggers, and consequences",https://doi.org/10.1016/j.obhdp.2020.01.010,13 March 2020,"The concept of authenticity has been increasingly on the scholarly radar. While conceptualized in numerous ways, authenticity has been suggested to include some form of alignment of one’s internal sense of self (e.g., beliefs, values, motivations) and the external expression of it. State or felt authenticity has been defined as the sense of being one’s real self. Much evidence highlights the positive consequences of authenticity, both in general and at work. Yet, many questions remain. This special section consists of four articles that theorize and provide novel empirical evidence, including experiments and field studies, on antecedents and consequences of authenticity in the work context. The articles focus on behavioral, felt, and perceived authenticity, document intrapersonal and situational factors triggering authenticity. Moreover, the articles lay the foundation for novel research directions, integrating concepts such as identity integration, humility, and power into the authenticity at work discourse.","Patricia Faison Hewlin, Natalia Karelaia, Maryam Kouchaki, Constantine Sedikides",,,,,
22,To be or not to be your authentic self? Catering to others’ preferences hinders performance,https://doi.org/10.1016/j.obhdp.2020.01.003,31 January 2020,"When approaching interpersonal first meetings (e.g., job interviews), people often cater to the target’s interests and expectations to make a good impression and secure a positive outcome such as being offered the job (pilot study). This strategy is distinct from other approaches identified in prior impression management research (Studies 1A, 1B and 1C), and does not produce the benefits people expect. In a field study in which entrepreneurs pitched their ideas to potential investors (Study 2), catering harmed investors’ evaluations, while being authentic improved them. People experience greater anxiety and instrumentality when they cater to another person’s preferences than when they behave authentically (Studies 3A and 3B). Compared to behaving authentically or to a control condition, catering harms performance because trying to anticipate and fulfill others’ preferences feels instrumental and increases anxiety (Studies 4 and 5). Taken together, these results suggest that although people believe using catering in interpersonal first meetings will lead to successful outcomes, the opposite is true: catering creates undesirable feelings of instrumentality for the caterer, increases anxiety, and ultimately hinders performance.","Francesca Gino, Ovul Sezer, Laura Huang",,,,,
23,Does being mindful make people more creative at work? The role of creative process engagement and perceived leader humility,https://doi.org/10.1016/j.obhdp.2019.12.003,23 January 2020,"An emerging line of research in the mindfulness literature is to examine the role of mindfulness in creativity in organizations. Thus far, little is known about how and when mindfulness, defined as present-moment attention, is associated with employee creativity. We theorize and test a model that links mindfulness to employee creativity through creative process engagement. We further suggest and test perceived leader humility as a boundary condition for such an association. The results of two field studies with time-lagged designs provide supporting evidence for our conceptual model. Specifically, the findings from both studies indicate that employee mindfulness has a positive association with supervisor-rated employee creativity through employee creative process engagement. In our second study, we also find that the indirect positive association between mindfulness and employee creativity (via creative process engagement) is strengthened when employees perceive their supervisors to be humble leaders. In contrast, the conditional indirect relationship is statistically nonsignificant under the condition of low perceived leader humility.","Siu Yin Cheung, Emily G. Huang, Song Chang, Liqun Wei",,,,,
24,"Wherever you go, there you become: How mindfulness arises in everyday situations",https://doi.org/10.1016/j.obhdp.2019.11.008,9 January 2020,"In this article, we suggest that mindfulness is not something entirely inherent within people but is partly elicited and shaped by situations. Integrating research on metacognitive practice and self-regulation, we introduce a theoretical framework that explains how mindfulness arises based on capacity for self-regulation as well as three motivational forces: metacognitive beliefs that drive resources into self-regulation, mental fatigue that draws resources away from self-regulation, and situational appraisals that influence how much self-regulation is needed to maintain mindfulness. Across three experience sampling studies that include 558 participants and 9,390 responses, we find that: mindfulness depends less on people’s overall capacity for self-regulation than it does on the metacognitive beliefs that motivate them to allocate their resources, these metacognitive beliefs can compensate for the negative role of mental fatigue, and situations can influence mindfulness both by pulling attention toward tasks (e.g., with challenging tasks) and away from them (e.g., with organizational hindrances). In sum, this article clarifies the understudied antecedents of mindfulness through a theoretical framework and empirical findings.","Christopher S. Reina, Ravi S. Kudesia",,,,,
25,Motivating bureaucrats through social recognition: External validity—A tale of two states,https://doi.org/10.1016/j.obhdp.2019.05.005,13 December 2019,"Bureaucratic performance is a crucial determinant of economic growth, but little real-world evidence exists on how to improve it, especially in resource-constrained settings. We conducted a field experiment of a social recognition intervention to improve record keeping in health facilities in two Nigerian states, replicating the intervention – implemented by a single organization – on bureaucrats performing identical tasks. Social recognition improved performance in one state but had no effect in the other, highlighting both the potential benefits and also the sometimes-limited generalizability of behavioral interventions. Furthermore, differences in facility-level observables did not explain cross-state differences in impacts, suggesting that it may often be difficult to predict external validity.","Varun Gauri, Julian C. Jamison, Nina Mazar, Owen Ozier",,,,,
26,Using behavioral insights to increase attendance at subsidized preschool programs: The Show Up to Grow Up intervention,https://doi.org/10.1016/j.obhdp.2019.11.002,2 December 2019,"We implemented a field experiment called Show Up to Grow Up designed to increase attendance and diminish chronic absences at subsidized preschool programs in Chicago. We sent personalized text messages to parents targeting malleable factors that potentially drive absences from preschool. Using administrative records from preschools, we find that the intervention increased attended days by 2.5 (0.15 standard deviations) and decreased chronic absenteeism by 9.3 percentage points (20%) over an 18-week period. Our results suggest that the treatment impact is stronger among those in the bottom quantiles of the attendance distribution. Survey data collected at baseline suggest that our intervention made the importance of preschool more salient to parents who initially reported lower expectations for attendance and weaker beliefs about the importance of attendance to their children’s development. Preschool centers may save resources by implementing low-cost light-touch interventions to meet attendance requirements.","Ariel Kalil, Susan E. Mayer, Sebastian Gallegos",,,,,
27,Free-riding and cost-bearing in discrimination,https://doi.org/10.1016/j.obhdp.2019.08.003,29 November 2019,"We study how the temporal positions in which a disadvantaged person (e.g., an unattractive-looking customer) and an advantaged person (e.g., an attractive-looking customer) encounter an actor (e.g., a vendor) influence the treatment they get from the actor (e.g., the prices the vendor offers). Three experiments, including a field experiment and a pre-registered experiment, incorporate three types of personal attributes (physical appearance, nationality, and gender) and find both a  for the disadvantaged person and a  for the advantaged person. Specifically, the disadvantaged person receives better treatment by following the advantaged person, and the advantaged person receives worse treatment by following the disadvantaged person. These effects occur only if the attribute that differentiates the disadvantaged and advantaged persons is perceived as unjustifiable, and they disappear if the attribute is perceived as justifiable, suggesting that these effects are due not to anchoring, but to the actor’s need for justifiability. This research highlights the importance of choice architecture in discrimination and its prevention.","Xilin Li, Christopher K. Hsee",,,,,
28,Mind your own break! The interactive effect of workday respite activities and mindfulness on employee outcomes via affective linkages,https://doi.org/10.1016/j.obhdp.2019.11.001,14 November 2019,"Workday respite activities are supposed to be beneficial for employees due to their intended relaxing and enjoyable nature, but employees may find it difficult to agilely switch their awareness and attention between work tasks and respite activities during work hours. Based on affective events and mindfulness-to-meaning theories, we propose workday respite activities as affective events and identify mindfulness—the exercise of non-judgmental awareness and attention to the present moment—as a moderator that facilitates psychological detachment from work during workday respite activities, which in turn enhances employee outcomes later in the day via affective states. Our results from three experience-sampling studies with full-time employees indicate that engaging in workday respite activities is indirectly and positively related with intrinsic motivation and work engagement via psychological detachment and positive affective state, while negatively related with work stress and emotional exhaustion via psychological detachment and negative affective state, especially when mindfulness is higher.","SinHui Chong, You Jin Kim, Hun Whee Lee, Russell E. Johnson, Szu-Han (Joanna) Lin",,,,,
29,Crafting messages to fight dishonesty: A field investigation of the effects of social norms and watching eye cues on fare evasion,https://doi.org/10.1016/j.obhdp.2019.10.003,10 November 2019,"The impact of watching eyes cues and descriptive social norm messages on fare evasion was studied in two experiments that were conducted in two railway stations in France. In Study 1, a natural field experiment, passengers were exposed for a two-week period to either a control eye-cues poster or to an experimental eye-cues with a social norm messaging campaign. In Study 2, an artefactual experiment in the field, participants in the experimental train station were asked to participate in a lying task before and after they were exposed to the messaging campaign. The results from both studies suggest that although watching eye cues alone are not effective in a crowded train station, exposing passengers to watching eye cues together with a descriptive social norm messaging campaign reduced the fare evasion rates observed by standard inspection operations, and eliminated lying behavior measured by the  paradigm. These results strengthen the external validity of laboratory experiments that have documented small scale cheating behavior and highlight the potential benefits of internal enforcement techniques to fight dishonesty in the field. In addition, they stress the advantage of combining visibility cues and social norms when orienting people toward more moral behavior.","Shahar Ayal, Jérémy Celse, Guy Hochman",,,,,
